TierID_TVD;TierID_ITB;GebDat;LaktNr;KalbeDat;BesDat;BesZeit;Experte;VZGNr;BetrNr;SchemaVonDb;DLC_ANMELDUNG_ID;DLC_GP_ID;DLC_DURCHFUEHRUNG_ID;DLC_NRLAKT;DLC_EU;DLC_EU1;DLC_EU2;DLC_EU3;DLC_EU4;DLC_EU5;DLC_EU6;DLC_EU7;DLC_FO;DLC_FO1;DLC_FO2;DLC_FO3;DLC_FO4;DLC_FO5;DLC_FO6;DLC_FU;DLC_FU1;DLC_FU2;DLC_FU3;DLC_HH;DLC_FU4;DLC_KM1;DLC_KM2;DLC_KM3;DLC_P;DLC_UM1;DLC_UM2;DLC_UM3;DLC_UM4;DLC_UM5;DLC_ZI;DLC_ZI1;DLC_ZI2;DLC_ZI3;DLC_ZI4;DLC_ZI5;DLC_ZUSATZZITZEN;DLC_ZUSATZZITZEN_BLIND;DLC_FO7;DLC_FO8;DLC_UM6;DLC_BCS;DLC_RA;DLC_BE;DLC_KM4;DLC_KM5;DLC_KM6;DLC_EU8;DLC_INT;DLC_MC;DLC_FO9;DLC_FO10;DLC_FO11;DLC_FO12;DLC_FO13;DLC_FO14;DLC_FO15;DLC_FO16;DLC_FU5;DLC_FU6;DLC_FU7;DLC_FU8;DLC_FU9;DLC_FU10;DLC_FU11;DLC_UM7;DLC_UM8;DLC_UM9;DLC_UM10;DLC_UM11;DLC_ZI6;DLC_EU9;DLC_FO17;DLC_ZI8;DLC_ZI7;DLC_FOK;DLC_BEK;DLC_EUK;DLC_ZIK;DLC_KM7;DLC_KM8;DLC_KM9;DLC_KM10;DLC_KM11;DLC_KM12;DLC_FUK;DLC_UM12;DLC_KM13;DLC_FO18;DLC_ZWLABEL_ID;DLC_FO19;DLC_FO20;DLC_FO21;DLC_UM13;bugweit;ueberhueftet;beckenGefirstet;unterbunden;weisseFlecken;zuHell;zuDunkel;bluemGurt;eingefallenerMastdarm;verkuerzterUnterkiefer;ausdruck;engesSprunggelenk;kuhhaessig;klauenGespreizt;zwischenklauenwarzen;zehenweit;gangUnregelmaessig;schwellungAmUnterschenkel;gestuft;nacheuterAngehoben;kaltfluss;spaltungSeitlich;fleischig;milchbruechig;zugespitzt;flaschenfoermig;nurVorneLang;stellungNachVorn;dreistrichigkeit;gesenkteLende;weicherRuecken;offenerWiderrist;unregelmaessigerGang;grob;zwischenklauenwarze;gespreizteKlauen;engeSprunggelenke;lockereKnie1;zehenweitVorn;aufgesetzerSchwanzans;schmaleLende;zuWenigGedeckt;bemerkungenZuDenZitzen;zitzenTrichterfoermig;zitzenUnterbunden;zitzenSeitlichEng;zitzenHintenEng;zitzenHintenWeit;zitzenGespreizt;afterzitzen;engesBecken;klauenzwang;zwischenzitzen;vielEutervolumen;hintenEng;seitlichZuwenigGespalten;gestuftesVoreuter;bemerkungenZumEuter;zitzenSchraeg;Kraempfig;zuHoherHuefthoecker;hoherSchwanz;kopfGrobKurz;kurzerDickerHals;schulterBugweit;volleSprunggelenke;hiSchulterSchwach;schwacherRuecken;karpfigerRuecken;hohesBecken;schwachesNacheuter;hintereZitzenZuWeitHinten;vorneNichtAusgeglichen;vorneRund;zuWenigKapazitaet;zuWenigGeteilt;hintenNichtAusgeglichen;kurzesVoreuter;zuVielKapazitaet;nachAussenVorn;unerwuenschterKopf;schraegesGesicht;engeHerzpartie;hueftgelenkZuWeitHinten;groberSchwanz;eingedrueckterSchwanz;eingefMastdarm;seitlichEng;blindeAfterzitzen;ohneKanal;seitlichSehrWeit;lebendeAfterzitzen;zitzenNichtSenkrecht;trichterfoermig;astloch;doppelzitze;hintenAngehoben;wenigFarbe;unausgeglichen;schwacheLende;weicheFesseln;unproduktiverViertel;grobeZitzen;zuFeineZitzen;zitzenZugespitzt;XBeinevorn;steileFesseln;blind;einhodig;lockereKnie2;charakter;umdreherZuWeitHinten;nichtRgswuerdig;schwarzeFlecken;Nacheuterverbindung;DruesigkeitEutertextur;DruesigkeitEutertexturPlus;DruesigkeitEutertexturMinus;ausdruckPlus;ausdruckMinus;Schema
CH120019015832;HWDCHEF120019015832;19920415;1;19950101;19951127;;28;826;62;;;;;1;75;4;6;;;5;;7;75;;4;;5;6;5;85;4;;5;;5;114;163;;80;;;;;;85;5;7;5;5;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US000681232349;BSWUSAF000068123234;20081001;2;20120102;20121201;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;US 91 90 94 90 90 92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH120017485156;TGRCHEF120017485156;20010510;1;20041113;20041130;;40;828;900;;;;;1;;;;;;;;;;;;;;;;;;;;;;116;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH120016213927;TGRCHEF120016213927;19950522;1;19980218;19980402;;40;828;900;;;;;1;4;;;;;;;;3;;;;;;3;4;;;;;;122;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH120054931708;TGRCHEF120054931708;20061209;1;20090505;20100421;;40;828;156;;;;;1;;;;;;;;;;;;;;;;;;;;;;123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH810009011165;HWDCHEF810009011165;19970612;1;20000101;20000327;;28;222;19;;;;;1;75;4;4;;4;5;;6;85;;4;7;5;6;5;95;5;7;5;;5;116;80;168;83;;;;;;75;5;;7;7;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US000007957758;BSWUSAF000000795775;19900125;4;19951210;19961101;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;US 90 90 88 90 92 90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH120096532420;TGRCHEF120096532420;20120409;1;20140930;20150416;;40;828;182;;;;;1;4;;;;;;;;4;;;;;;3;4;;;;;;123;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH120005825223;TGRCHEF120005825223;20010512;2;20050406;20050409;;40;825;100;;;;;2;;;;;;;;;;;;;;;;;;;;;;117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH120009168715;TGRCHEF120009168715;19921217;2;19961216;19980124;;40;828;900;;;;;2;3;;;;;;;;4;;;;;;4;3;;;;;;121;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
